A01　身体
A02　筋骨格系
A03　消化器系
A04　呼吸器系
A05　泌尿生殖器系
A06　内分泌系
A07　心臓血管系
A08　神経系
A09　感覚器
A10　組織
A11　細胞
A12　体液と分泌物
A13　動物の身体構造
A14　口顎系
A15　血液免疫系
A16　胚構造
A17　外皮系
A18　植物の構造
A19　真菌構造
A20　細菌構造
A21　ウイルス構造
B01　真核生物
B02　古細菌
B03　細菌
B04　ウイルス
B05　生物生活環形態
C01　細菌性疾患と真菌性疾患
C02　ウイルス性疾患
C03　寄生虫疾患
C04　腫瘍
C05　筋骨格系疾患
C06　消化器疾患
C07　口顎疾患
C08　気道疾患
C09　耳鼻咽喉疾患
C10　神経系疾患
C11　眼疾患
C12　泌尿生殖器疾患-男性
C13　女性生殖器疾患と妊娠合併症
C14　心臓血管疾患
C15　血液疾患とリンパ疾患
C16　先天性,遺伝性および新生児疾患と奇形
C17　皮膚疾患と結合組織疾患
C18　栄養疾患と代謝性疾患
C19　内分泌系疾患
C20　免疫系疾患
C21　環境起因障害
C22　動物の疾病
C23　病理学的状態, 症状, 徴候
C24　職業病
C25　化学物質誘発性障害
C26　創傷と損傷
D01　無機化学物質
D02　有機化学物質
D03　複素環式化合物
D04　多環式化合物
D05　高分子物質
D06　ホルモン, 代用物質, 拮抗剤
D08　酵素と補酵素
D09　炭水化物
D10　脂質
D12　Amino Acids, Peptides, and Proteins
D13　Nucleic Acids, Nucleotides, and Nucleosides
D20　複合混合物類
D23　生物学的因子
D25　医用材料と歯科材料
D26　薬物
D27　化学作用と効用
E01　診断
E02　治療
E03　麻酔法と無痛法
E04　外科手術
E05　調査研究法
E06　歯科学
E07　機器と資材用品
F01　行動と行動メカニズム
F02　心理現象
F03　精神疾患
F04　行動訓練と活動
G01　物理的現象
G02　化学的現象
G03　代謝
G04　細胞生理学的現象
G05　遺伝学的現象
G06　微生物学的現象
G07　生理学的現象
G08　生殖と泌尿の生理学的現象
G09　循環と呼吸の生理学的現象
G10　消化器系生理学的現象と口腔生理学的現象
G11　筋骨格生理学的現象と神経生理学的現象
G12　免疫学的現象
G13　外皮系生理学的現象
G14　眼の生理学的現象
G15　植物生理学的現象
G16　生物学的現象
G17　数学的概念
H01　自然科学
H02　保健医療業務
I01　社会科学
I02　教育
I03　人間活動
J01　技術, 産業, 農業
J02　食品と飲料
J03　公共施設と個人施設
K01　人文科学
L01　情報科学
M01　人間
N01　人口集団特性
N02　保健医療の施設, 人的要員, サービス
N03　保健医療経済と保健医療組織
N04　保健医療サービス管理
N05　保健医療の品質, アクセス, 評価
N06　環境と公衆衛生
Z01　地理的位置
